0,1
5,"gute lage im stadtzentrum. shoppingmeile und sehensw  rdigkeiten, sowie gute pubs in laufweite. das hotel ist neu, gut gepflegt und hat bem  htes nettes personal. ideal f  r einen kurztrip nach edinburgh. l  ngere aufenthalte eher nicht, da die zimmer recht klein sind."
4,"this is a fairly new property i think. it is a german company and has most of the amenities you would want. it is priced on the budget minded side so it won't break your bank.
location is really good. near the royal mile and waverley station without being too noisy. very easy to walk to everything we wanted to do. has wifi but we did have to re log in every day."
4,"first time at this group of hotels. pretty new, only one in uk, another to open in edinburgh and one in london. rooms not very big but great price and location for a weekend in edinburgh. rooms clean, comfortable, good shower and free wifi!"
3,"had continental style breakfast here a short distance from waverley station as i had half hour before a train home and wanted to try somewhere new. motel1one is nearby and a easy two minute walk, slightly uphill towards the castle from the station. 

on entry it's modern, cosy has tons of cool yet bright pastel and mochilato colours to accommodate your cold wintertime self. wooden floors, warm rugs, sheepskins on the sofas, slate walls and oak barrelled tables, with slight distinct scottish themes due to their tartan furnished accessories completes the feel.

i sat in one lounge, had tea and food self served for well under   10, you know bran, meats cheese and croissant that sort of stuff. with a copy of local newspaper in hand i really needed to eat, stay warm and access wifi, the reasons i came in.

some hotels in the city give you access to wifi if your a paying guest, but repeated attempts to access their wifi even with staff help, eventually gave access but in german. on going to reception again for additional help the staff were great got the correct website for me, but still no luck.

hmmm, by the time this was all done i came back to cold tea and didn't really have time now to finish a second cup of hot earl grey, so sorry to staff for removing an almost full cup of tea. great place though nice breakfast and funky decor especially the plasma tv displaying a roasting log fire in reception, but sadly for me no easy access to wifi when badly required.

maybe next time i will endeavour to try food against technology!"
2,"definitely not a fan. coming from orange county, ca, i have high expectations when it comes to asian food.  suffice to say that panda express would have been a better choice, which is pretty sad."
4,the food was fantastic! i highly recommend  the lettuce wraps.
2,"took the family there last week.  ordered fried wontons, sweet and sour beef, mongolian beef, honey crusted chicken and pad thai noodles.  

the mongolian beef was delicious, however the white rice was undercooked, some of the rice was hard still and crunchy.

honey crusted chicken also quite good, same story with the rice.  same thing with the sweet and sour beef.

ordered the pad thai without peanuts... son is allergic to peanuts so we made it very clear we didn't want anything with nuts.  they deliver the pad thai with peanuts all over the top.  sent it back and they fixed it.

they brought us spring rolls which we did not order.  we said they were not ours we ordered wontons.  they bring us the wontons a few minutes later.  the wontons are less expensive than the spring rolls, we point that our to the guy at the register and with a bit of smart alecky ness says that he ""let us keep the spring rolls"" and ""didn't charge is for all of our drinks"" as if he did us a favor.

overall the food was decent, the rice was terrible and the attitude of the cashier was not what i expected with a  65 food order!!

i wouldn't go back for that price and food quality but perhaps we caught them on a bad day.."
4,i love the lettuce wraps here. they are simply the best.  i order carry out often from here. i occasionally dine in.  my problem with the dinning in is the seating. it is always difficult to find a seat.  the place really needs to expand.  if you have a party of more than 4 most days you can hang it up.  other than the seating i like it. large portions of rice and noodles.  a little stingy on the meat.
4,i've been here at least 5 times now and each time is better than the last. i iove what they have done to improve the building and add outdoor dining. service is always good here and on par with other top places in mentor. i really suggest the chicken soup on a cold day it's very yummy! everything i've had on the menu has been great.
